
[Name]
Default Boundary

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Connectivity Number, Von Mises Stress [ Pa ]
142, 6.00000005e-003, 0.00000000e+000, -9.99999978e-003, 5.00000000e+000, 2.71696832e+008
143, 9.99999978e-003, 0.00000000e+000, -8.00000038e-003, 6.00000000e+000, 4.90659392e+008
144, 3.70833324e-003, 0.00000000e+000, -6.50297664e-003, 1.70000000e+001, 1.08490352e+008
145, -9.99999978e-003, 0.00000000e+000, 0.00000000e+000, 5.00000000e+000, 4.75420672e+008
146, -8.33985768e-003, 0.00000000e+000, -6.35795936e-004, 1.10000000e+001, 2.81107776e+008
147, -7.05008535e-003, 0.00000000e+000, 2.28126091e-003, 7.00000000e+000, 1.97022560e+008
148, -5.04166633e-003, 0.00000000e+000, -4.37500014e-004, 9.00000000e+000, 1.34498864e+008
149, -3.38962208e-003, 0.00000000e+000, 2.60125869e-003, 1.00000000e+001, 9.18997760e+007
150, -9.99999978e-003, 0.00000000e+000, 2.00000009e-003, 5.00000000e+000, 4.76624224e+008
151, -9.99999978e-003, 0.00000000e+000, 4.00000019e-003, 5.00000000e+000, 4.48944608e+008
152, -6.30208571e-003, 0.00000000e+000, 6.05558278e-003, 1.70000000e+001, 1.74705248e+008
153, -9.99999978e-003, 0.00000000e+000, -9.99999978e-003, 1.00000000e+000, 7.33684928e+008
154, -9.99698881e-003, 2.11065495e-003, -9.99650545e-003, 6.00000000e+000, 5.13014880e+008
155, -8.00000038e-003, 0.00000000e+000, -9.99999978e-003, 6.00000000e+000, 3.89344896e+008
156, -9.99999978e-003, 0.00000000e+000, -8.00000038e-003, 6.00000000e+000, 4.91799712e+008
157, 9.99999978e-003, 0.00000000e+000, -9.99999978e-003, 1.00000000e+000, 7.38143104e+008
158, 1.00029875e-002, 2.09816173e-003, -1.00035137e-002, 6.00000000e+000, 5.28657600e+008
159, -9.99999978e-003, 0.00000000e+000, 9.99999978e-003, 1.00000000e+000, 7.34074496e+008
160, -9.99999978e-003, 0.00000000e+000, 8.00000038e-003, 6.00000000e+000, 4.91482720e+008
161, -8.00000038e-003, 0.00000000e+000, 9.99999978e-003, 6.00000000e+000, 3.94669184e+008
162, -9.99697670e-003, 2.11063703e-003, 9.99649987e-003, 6.00000000e+000, 5.18119552e+008
163, 2.43781367e-003, 0.00000000e+000, 4.70645400e-003, 1.20000000e+001, 7.45290560e+007
164, 5.94927603e-003, 0.00000000e+000, 7.46547803e-003, 1.40000000e+001, 1.78724528e+008
165, 1.00000005e-003, 0.00000000e+000, 7.49999983e-003, 1.20000000e+001, 4.18740400e+007
166, 4.00000019e-003, 0.00000000e+000, 9.99999978e-003, 5.00000000e+000, 1.75204624e+008
167, 2.00000009e-003, 0.00000000e+000, 9.99999978e-003, 5.00000000e+000, 9.58717760e+007
168, 4.70833341e-003, 0.00000000e+000, -2.02083332e-003, 1.00000000e+001, 1.28741040e+008
169, 1.56325696e-003, 0.00000000e+000, -2.82699266e-003, 1.00000000e+001, 6.24727920e+007
170, -9.99999978e-003, 0.00000000e+000, -4.00000019e-003, 6.00000000e+000, 4.49371808e+008
171, -6.30668085e-003, 0.00000000e+000, -6.05066819e-003, 2.00000000e+001, 1.87787152e+008
172, -4.23874939e-003, 0.00000000e+000, -3.15652858e-003, 8.00000000e+000, 1.13113832e+008
173, -9.99999978e-003, 0.00000000e+000, -2.00000009e-003, 5.00000000e+000, 4.88006016e+008
174, -1.09220832e-003, 0.00000000e+000, -3.22630513e-004, 1.30000000e+001, 5.70578240e+007
175, -9.99999978e-003, 0.00000000e+000, -6.00000005e-003, 2.00000000e+000, 5.19606400e+008
176, -9.99524817e-003, 2.69503845e-003, -6.28751284e-003, 9.00000000e+000, 4.91706016e+008
177, -6.00000005e-003, 0.00000000e+000, 9.99999978e-003, 3.00000000e+000, 2.81927200e+008
178, -3.15486011e-003, 0.00000000e+000, 7.96458032e-003, 1.40000000e+001, 1.02484848e+008
179, -6.28748955e-003, 2.69212597e-003, 9.99743119e-003, 1.30000000e+001, 2.87066880e+008
180, 4.00000019e-003, 0.00000000e+000, -9.99999978e-003, 3.00000000e+000, 1.88925056e+008
181, 6.29116129e-003, 2.68439413e-003, -1.00025162e-002, 1.10000000e+001, 2.74823136e+008
182, -4.00000019e-003, 0.00000000e+000, 9.99999978e-003, 3.00000000e+000, 1.96566192e+008
